Hospital Name,City,District,State,Country,Date,Patients,Beds,Deaths,Cancer,Tuberculosis,Accidents,Pneumonia,Covid
add,,,,AS,31-03-2020,426,,,,,,,
add,,,,AS,01-04-2020,441,,,,,,,
add,,,,AS,02-04-2020,415,,,,,,,
add,,,,AS,03-04-2020,457,,,,,,,
add,,,,AS,04-04-2020,490,,,,,,,
add,,,,AS,05-04-2020,457,,,,,,,
add,,,,AS,06-04-2020,305,,,,,,,
add,,,,AS,07-04-2020,263,,,,,,,
add,,,,AS,08-04-2020,262,,,,,,,
add,,,,AS,09-04-2020,247,,,,,,,
add,,,,AS,10-04-2020,240,,,,,,,
add,,,,AS,11-04-2020,239,,,,,,,
add,,,,AS,12-04-2020,227,,,,,,,
add,,,,AS,13-04-2020,230,,,,,,,
add,,,,AS,14-04-2020,214,,,,,,,
add,,,,AS,15-04-2020,201,,,,,,,
add,,,,AS,16-04-2020,192,,,,,,,
add,,,,AS,17-04-2020,184,,,,,,,
add,,,,AS,18-04-2020,177,,,,,,,
add,,,,AS,19-04-2020,170,,,,,,,
add,,,,AS,20-04-2020,167,,,,,,,
add,,,,AS,21-04-2020,161,,,,,,,
add,,,,AS,22-04-2020,152,,,,,,,
add,,,,AS,23-04-2020,138,,,,,,,
add,,,,AS,24-04-2020,129,,,,,,,
add,,,,AS,25-04-2020,115,,,,,,,
add,,,,AS,26-04-2020,113,,,,,,,
add,,,,AS,27-04-2020,109,,,,,,,
add,,,,AS,28-04-2020,93,,,,,,,
add,,,,AS,29-04-2020,89,,,,,,,
add,,,,AS,30-04-2020,83,,,,,,,
add,,,,AS,01-05-2020,79,,,,,,,
add,,,,AS,02-05-2020,75,,,,,,,
add,,,,AS,03-05-2020,70,,,,,,,
add,,,,AS,04-05-2020,66,,,,,,,
ader,,,,AS,05-05-2020,62,,,,,,,
ader,,,,AS,06-05-2020,58,,,,,,,
ader,,,,AS,07-05-2020,56,,,,,,,
ader,,,,AS,08-05-2020,51,,,,,,,
ader,,,,AS,09-05-2020,43,,,,,,,
ader,,,,AS,10-05-2020,49,,,,,,,
ader,,,,AS,11-05-2020,47,,,,,,,
ader,,,,AS,12-05-2020,50,,,,,,,
ader,,,,AS,13-05-2020,51,,,,,,,
